"","years","runtime_minute","rate_score","gross_million","votes","certificates"
"628",2000,82,6.1,9.63,6489,"PG"
"629",1995,98,5.6,9.42,27321,"R"
"630",2009,85,2.5,9.35,67611,"PG"
"631",2015,96,6.7,9.25,81521,"R"
"632",1988,89,5.8,9.21,17376,"R"
"633",2004,88,1.9,9.11,29313,"PG"
"634",1977,80,6.5,9,9715,"PG"
"635",1986,91,5.6,8.99,6320,"R"
"636",1969,134,5.9,8.94,4402,"G"
"637",1991,99,6.4,8.91,1600,"PG"
"638",1983,106,6.5,8.9,10389,"PG"
"639",1973,93,5.5,8.84,27580,"G"
"640",1979,88,6.9,8.75,182015,"R"
"641",1977,91,5.3,8.72,4645,"PG"
"642",1975,115,6.9,8.72,15165,"PG"
"643",1971,98,6.5,8.72,27433,"PG"
"644",2015,119,7.2,8.7,196236,"R"
"645",1994,109,5.9,8.64,7994,"R"
"646",2016,94,5.6,8.55,9360,"PG"
"647",2001,98,4.9,8.43,49304,"R"
"648",1984,113,7.1,8.4,62169,"R"
"649",1997,99,3.6,8.36,7875,"PG"
"650",1988,95,6.5,8.25,29611,"R"
"651",2018,93,5.4,8.23,2422,"R"
"652",1989,99,5.3,8.14,9655,"R"
"653",2016,146,6.4,8.11,76042,"R"
"654",1984,102,6.1,8.1,13411,"PG"
"655",1993,100,5.2,8.02,7400,"PG"
"656",2015,93,7.3,8.01,19150,"Not Rated"
"657",1977,99,5.9,8,5294,"PG"
"658",1975,80,6.2,8,23289,"R"
"659",1916,105,6.2,8,1456,"Passed"
"660",1995,145,7.2,7.92,64127,"R"
"661",2017,120,6.4,7.89,44122,"PG-13"
"662",2008,90,6.5,7.87,60705,"PG"
"663",1985,99,6.3,7.84,11606,"PG"
"664",2006,95,6.4,7.77,71223,"R"
"665",1985,100,7.2,7.66,2221,"G"
"666",1963,107,6.7,7.63,14638,"Not Rated"
"667",1986,98,5.5,7.43,28521,"R"
"668",1984,100,6.1,7.34,4974,"PG"
"669",1988,97,6.5,7.28,12468,"R"
"670",1997,101,5.3,7.02,2347,"PG"
"671",1982,85,3.8,7,1975,"R"
"672",1991,90,4.5,6.95,8993,"PG"
"673",1975,91,6.5,6.9,15761,"R"
"674",2003,100,6.1,6.89,17077,"PG-13"
"675",1984,99,5.9,6.77,10960,"PG-13"
"676",2004,95,4.2,6.77,12698,"PG"
"677",1992,95,5.9,6.74,26532,"R"
"678",2018,94,6,6.71,36670,"R"
"679",1983,99,5.8,6.67,2743,"R"
"680",2012,101,6.7,6.62,104005,"R"
"681",2018,98,5.3,6.5,8427,"PG"
"682",2004,73,5.8,6.49,1473,"PG"
"683",1988,95,3.3,6.42,11052,"PG"
"684",2005,103,7.1,6.3,105418,"R"
"685",2000,105,5.6,6.29,8873,"R"
"686",1984,103,6.3,6.25,22780,"PG"
"687",2001,95,6.2,6.11,22049,"PG-13"
